iter	Logloss
0	0.6855151987
1	0.6794978353
2	0.6722184475
3	0.6636926294
4	0.6580270833
5	0.6543273219
6	0.6474548012
7	0.6410746473
8	0.63544862
9	0.6286183119
10	0.6230092684
11	0.6200584551
12	0.6143085265
13	0.6072628574
14	0.6042682656
15	0.5995570241
16	0.5932029988
17	0.5891557093
18	0.5851390598
19	0.5791368503
20	0.5739684689
21	0.5676555803
22	0.5622085977
23	0.5579007313
24	0.553657394
25	0.5490688628
26	0.5443179135
27	0.5403518267
28	0.5357471976
29	0.5329982211
30	0.5279468007
31	0.5230212115
32	0.5187329717
33	0.5138152587
34	0.5097665891
35	0.5057240079
36	0.501372796
37	0.4989573571
38	0.4953414647
39	0.4928927405
40	0.489914873
41	0.4875154233
42	0.4840871646
43	0.4812693307
44	0.4782723801
45	0.4747082746
46	0.4711226129
47	0.4676663367
48	0.4645310892
49	0.4607079171
50	0.4576816976
51	0.4545096823
52	0.4513960671
53	0.4498955417
54	0.4476875111
55	0.4450619319
56	0.4428201756
57	0.4403437493
58	0.4374753896
59	0.4349738104
60	0.4340867719
61	0.4331926314
62	0.4308547174
63	0.4279588763
64	0.4257053212
65	0.4238635093
66	0.4217187757
67	0.4193774979
68	0.4171313509
69	0.4139760592
70	0.4118499564
71	0.4106866439
72	0.4090320118
73	0.4072785394
74	0.4055817512
75	0.4038811957
76	0.4021445718
77	0.3999506901
78	0.3977649692
79	0.3957651245
80	0.394126191
81	0.3921426142
82	0.3906241806
83	0.3894437491
84	0.3889561031
85	0.3873633667
86	0.3855238971
87	0.3835325036
88	0.3815085196
89	0.3798281979
90	0.3778496967
91	0.3769953474
92	0.3761875182
93	0.37452555
94	0.3734844714
95	0.3719046735
96	0.370976446
97	0.3693335455
98	0.3681718643
99	0.3666494362
100	0.3652838718
101	0.3636087095
102	0.3620716766
103	0.3608449211
104	0.3604488286
105	0.3596298149
106	0.3587358819
107	0.3575934229
108	0.3561570359
109	0.3544377264
110	0.3529559542
111	0.3526033967
112	0.3511431801
113	0.3498502555
114	0.3487537832
115	0.3472383146
116	0.346180242
117	0.3451384168
118	0.3439534353
119	0.3424632458
120	0.3406947064
121	0.3393371774
122	0.3383029121
123	0.3373731946
124	0.3365910856
125	0.3356971948
126	0.3348410589
127	0.3340894748
128	0.3329251792
129	0.3323613119
130	0.3312976709
131	0.3300658288
132	0.3292852323
133	0.3285572812
134	0.3278755211
135	0.3266305481
136	0.3257104513
137	0.3243508913
138	0.3229918535
139	0.3221752227
140	0.3211776462
141	0.3202911203
142	0.3194601143
143	0.3183869359
144	0.3176023862
145	0.3173378164
146	0.3165694183
147	0.3163787015
148	0.3151380573
149	0.3144080992
150	0.3137594135
151	0.3127339341
152	0.3122269188
153	0.3114699171
154	0.3106699557
155	0.3100121234
156	0.3092426457
157	0.3083323102
158	0.3078620021
159	0.3072216819
160	0.3064068718
161	0.3058979312
162	0.3053687238
163	0.3050572095
164	0.3043509247
165	0.3037417129
166	0.303236488
167	0.302617546
168	0.3022506451
169	0.3015254555
170	0.3008864869
171	0.3002275252
172	0.2998397561
173	0.2994323456
174	0.2990230081
175	0.2984809625
176	0.2976657405
177	0.2969326301
178	0.2963360714
179	0.295530364
180	0.2950353146
181	0.2945102133
182	0.2939932501
183	0.2934676584
184	0.2931419325
185	0.2926111804
186	0.2920293405
187	0.2914896264
188	0.2909542994
189	0.2903298895
190	0.289853619
191	0.2892569415
192	0.2885222845
193	0.2882900529
194	0.2882309214
195	0.2880569292
196	0.28729322
197	0.2866045353
198	0.2859653178
199	0.2857415489
200	0.2853155051
201	0.2852849093
202	0.2849373954
203	0.2847209654
204	0.2846340331
205	0.283938062
206	0.2833314318
207	0.2828343688
208	0.282383603
209	0.2817371121
210	0.281518586
211	0.2809441493
212	0.2806334602
213	0.2805431893
214	0.2804854994
215	0.2800875278
216	0.2796122312
217	0.2791217696
218	0.2787879234
219	0.2785787257
220	0.277973277
221	0.2773742354
222	0.2770537176
223	0.2765031125
224	0.2760435753
225	0.2755221461
226	0.2753488467
227	0.2747405918
228	0.2744502704
229	0.2740713843
230	0.2738560799
231	0.2738199304
232	0.273511105
233	0.2731584764
234	0.2729126792
235	0.2726149154
236	0.2723303368
237	0.2720157954
238	0.2716491013
239	0.2712590439
240	0.2708971164
241	0.2705472258
242	0.2703560223
243	0.2699371657
244	0.2698433095
245	0.2695499114
246	0.2689225927
247	0.2687839278
248	0.2683488902
249	0.2682384955
250	0.2681778161
251	0.2676231202
252	0.2669564877
253	0.2665079985
254	0.2662431386
255	0.2659366151
256	0.2658050098
257	0.2654462369
258	0.2650485443
259	0.2647089364
260	0.2644333277
261	0.2642631286
262	0.2642164372
263	0.2639847526
264	0.2639393183
265	0.2634941882
266	0.263134612
267	0.2628791125
268	0.2626353686
269	0.2621777945
270	0.2619783722
271	0.2617839412
272	0.2616185126
273	0.2615933638
274	0.2612921638
275	0.2610635915
276	0.2603509473
277	0.2600767994
278	0.2594697039
279	0.2591660993
280	0.2586680362
281	0.2584219702
282	0.2582720934
283	0.2580545913
284	0.2577384876
285	0.2575344591
286	0.2574430975
287	0.2570404413
288	0.2568859923
289	0.256421509
290	0.2560578461
291	0.2558732732
292	0.2557869047
293	0.2553269654
294	0.2550724789
295	0.2548672919
296	0.2544159022
297	0.254037454
298	0.2536430537
299	0.2532445106
300	0.2528162109
301	0.25268176
302	0.2523977954
303	0.2518306051
304	0.2517870404
305	0.2516344678
306	0.2514306308
307	0.2510638185
308	0.2505866661
309	0.250370953
310	0.2500025184
311	0.2499340831
312	0.249777103
313	0.2496132854
314	0.2493097923
315	0.2488146326
316	0.2485284225
317	0.2482180081
318	0.2479793505
319	0.2477720596
320	0.247444372
321	0.2470336737
322	0.2467958276
323	0.2467195172
324	0.2466108169
325	0.2463474306
326	0.2461523427
327	0.2460494664
328	0.2457786975
329	0.2454053068
330	0.2451097479
331	0.2449939622
332	0.2448826466
333	0.2447932377
334	0.244623279
335	0.2445081239
336	0.2442448207
337	0.2439353679
338	0.2435609425
339	0.2432772039
340	0.2430720401
341	0.2430656549
342	0.2430074756
343	0.2429588037
344	0.2427875228
345	0.2427252076
346	0.2424983396
347	0.2423954125
348	0.2421023369
349	0.2417513643
350	0.241655302
351	0.2415200345
352	0.2412674844
353	0.2411968037
354	0.240971123
355	0.2407248898
356	0.2405827779
357	0.2403343727
358	0.2402306817
359	0.239958887
360	0.239592069
361	0.2394505335
362	0.239101887
363	0.2387582081
364	0.2386305152
365	0.2383966544
366	0.2383966469
367	0.2383102942
368	0.238204233
369	0.2381240098
370	0.2377649163
371	0.2377635033
372	0.237658291
373	0.2374635798
374	0.2372687754
375	0.2371675368
376	0.2369983006
377	0.2368589274
378	0.2368302794
379	0.2366607718
380	0.236394912
381	0.2360338358
382	0.2355274753
383	0.2353973974
384	0.2352635626
385	0.235009079
386	0.2350090763
387	0.2347910091
388	0.2346344544
389	0.234548982
390	0.2343566541
391	0.2340322729
392	0.2337601532
393	0.2335834132
394	0.2334797625
395	0.2333058583
396	0.2330685281
397	0.2328199633
398	0.2326625066
399	0.2325312371
400	0.2324268259
401	0.2320962957
402	0.2318266532
403	0.2316112953
404	0.2313842999
405	0.231336116
406	0.2313044239
407	0.2309542593
408	0.230814563
409	0.2305730126
410	0.2304824879
411	0.2303285548
412	0.2301261627
413	0.230048054
414	0.2298681689
415	0.2295747573
416	0.2294574356
417	0.2292882689
418	0.2290667956
419	0.2289851808
420	0.228826318
421	0.2287695793
422	0.2286993084
423	0.2284019221
424	0.2282625207
425	0.2281278541
426	0.2277666452
427	0.2275226961
428	0.2274346217
429	0.2273177102
430	0.2273085737
431	0.2272818849
432	0.2270126727
433	0.226703186
434	0.226229008
435	0.2260915016
436	0.2260856271
437	0.2258918888
438	0.2256785023
439	0.2255506992
440	0.2253155008
441	0.22528937
442	0.2251908188
443	0.2251101167
444	0.2250071908
445	0.2248298001
446	0.2248149172
447	0.2246640638
448	0.2245995048
449	0.2243260481
450	0.2242698862
451	0.2240223173
452	0.2238780497
453	0.2238780495
454	0.2237769405
455	0.2237769404
456	0.2236617507
457	0.2233283958
458	0.2232294531
459	0.2230327198
460	0.2227875799
461	0.2224821411
462	0.2224262395
463	0.2221484093
464	0.2220249485
465	0.2218715897
466	0.2217628542
467	0.2214981653
468	0.2214393648
469	0.2213678056
470	0.2213676542
471	0.2212288874
472	0.2211171986
473	0.2208583382
474	0.2207906598
475	0.2205960145
476	0.2202244347
477	0.2200432299
478	0.2199417153
479	0.2197034029
480	0.2196406214
481	0.2194290866
482	0.219324022
483	0.2192436197
484	0.2190913688
485	0.2188532174
486	0.2185639698
487	0.218472842
488	0.2181964778
489	0.2181639344
490	0.218024834
491	0.2177546719
492	0.2176305092
493	0.2172950071
494	0.2172786313
495	0.2172366635
496	0.2170357644
497	0.2169299201
498	0.2169299192
499	0.2168343427
500	0.2168136787
501	0.2166406915
502	0.2164131178
503	0.2162122759
504	0.2161416383
505	0.2159831202
506	0.2159301103
507	0.2156288198
508	0.2155300537
509	0.2154290456
510	0.2153685748
511	0.2151339752
512	0.2150151698
513	0.2148626504
514	0.2145791046
515	0.2141976588
516	0.2141688313
517	0.2140046831
518	0.2138128502
519	0.2136571315
520	0.2131513255
521	0.2130735855
522	0.2129276864
523	0.2126390234
524	0.2126390226
525	0.212586986
526	0.2124830234
527	0.2124490185
528	0.2123168335
529	0.2121969865
530	0.2121137514
531	0.2118015517
532	0.2116131093
533	0.2114241054
534	0.2113101564
535	0.2111979944
536	0.2110947826
537	0.2110947765
538	0.2110353265
539	0.2109278885
540	0.2107430452
541	0.2106838757
542	0.2106769094
543	0.2104879627
544	0.2103457076
545	0.2103389091
546	0.2098782715
547	0.2096299379
548	0.2095172771
549	0.2093651327
550	0.209110169
551	0.2089445704
552	0.2087604341
553	0.2086666454
554	0.2086416246
555	0.2085450756
556	0.2083848623
557	0.2082927612
558	0.2081214541
559	0.2080744101
560	0.2078921024
561	0.2078358244
562	0.2078358208
563	0.2078054757
564	0.2076008002
565	0.2075839108
566	0.2074466732
567	0.2074129339
568	0.2074079063
569	0.2072855223
570	0.2070978279
571	0.2070385497
572	0.2066998281
573	0.2066237505
574	0.2065658834
575	0.2065012956
576	0.2063209995
577	0.206211696
578	0.206089384
579	0.2060294306
580	0.2059104234
581	0.2058499763
582	0.2056088789
583	0.205465526
584	0.2053958753
585	0.2053138605
586	0.2052672781
587	0.2050326958
588	0.2049297685
589	0.2049097684
590	0.2048547084
591	0.2047677182
592	0.2046835957
593	0.2045579941
594	0.2044829193
595	0.204464892
596	0.2044143502
597	0.2043548512
598	0.2042015573
599	0.204117211
600	0.2041170329
601	0.2040949206
602	0.2039909724
603	0.2038596116
604	0.2036556776
605	0.203470786
606	0.2033108671
607	0.2031894394
608	0.2030241984
609	0.2027096475
610	0.2025977979
611	0.2024316796
612	0.2021415491
613	0.2020431291
614	0.2020205458
615	0.2018374576
616	0.2015599435
617	0.2015353076
618	0.2014718592
619	0.2013355408
620	0.2013334651
621	0.201271119
622	0.2012693898
623	0.2011609151
624	0.2011163427
625	0.2007987189
626	0.2006810009
627	0.200558119
628	0.2003699864
629	0.200364308
630	0.2000690294
631	0.1999528689
632	0.1996366683
633	0.1995939439
634	0.1995054719
635	0.1993938278
636	0.1992445074
637	0.1990247601
638	0.1987672907
639	0.1984417719
640	0.1982314701
641	0.1980883664
642	0.1980583739
643	0.1979531762
644	0.1977747846
645	0.1975974656
646	0.1973090742
647	0.1972497622
648	0.1971683039
649	0.1970126222
650	0.1968183548
651	0.1967598078
652	0.196733464
653	0.1964612157
654	0.1961527071
655	0.1960772123
656	0.1958719455
657	0.1958719437
658	0.1957702781
659	0.1957585519
660	0.1955819501
661	0.1953227841
662	0.1952263366
663	0.1950871896
664	0.1950020336
665	0.194937545
666	0.19475616
667	0.1945511826
668	0.1944940729
669	0.1944135021
670	0.1943517515
671	0.1941918046
672	0.1941446699
673	0.1940929133
674	0.1940276858
675	0.1938300449
676	0.1935427838
677	0.1931468788
678	0.1931292089
679	0.1929624736
680	0.1928844629
681	0.1926967089
682	0.1925898532
683	0.1924972595
684	0.1923816927
685	0.1922659654
686	0.1921282
687	0.1921003473
688	0.1920724251
689	0.191931674
690	0.1918917184
691	0.1918101953
692	0.1917553435
693	0.1916273748
694	0.1915120985
695	0.1912608593
696	0.1910550995
697	0.1910114834
698	0.1908822015
699	0.1907363869
700	0.1905365582
701	0.1903156376
702	0.1901856977
703	0.1900661559
704	0.1899258827
705	0.1899090948
706	0.1897276468
707	0.1896199997
708	0.1895021077
709	0.1893668656
710	0.189195695
711	0.1890517579
712	0.1887984729
713	0.1886818227
714	0.1886648674
715	0.1886105468
716	0.1885981924
717	0.1885697103
718	0.1884689786
719	0.1884437651
720	0.1883114178
721	0.1882118331
722	0.1881408654
723	0.1880264617
724	0.1878958504
725	0.1878444835
726	0.1877127284
727	0.1875898846
728	0.1874294014
729	0.1873148928
730	0.187222799
731	0.1870133702
732	0.1869389878
733	0.1867287026
734	0.1865463021
735	0.1863485734
736	0.1860627448
737	0.1859440156
738	0.1857089563
739	0.1856564287
740	0.1856477572
741	0.1853800855
742	0.1852014831
743	0.1851092763
744	0.1850304263
745	0.1848805962
746	0.1847438638
747	0.1846543319
748	0.1843864133
749	0.1843417035
750	0.184223465
751	0.1840848902
752	0.1839460358
753	0.1838254597
754	0.1836671608
755	0.1835044036
756	0.1834821142
757	0.1833042617
758	0.1832408462
759	0.1831552221
760	0.1830828719
761	0.1829614563
762	0.1829592813
763	0.1827923151
764	0.1826634315
765	0.1825718398
766	0.1825058826
767	0.1824466916
768	0.1822697423
769	0.1821106729
770	0.1817763647
771	0.1816110024
772	0.1814975843
773	0.1814633817
774	0.1813676224
775	0.181279404
776	0.1811793069
777	0.1809995082
778	0.1809566792
779	0.1807639537
780	0.180459519
781	0.1802819626
782	0.1802792299
783	0.1801189998
784	0.1800980505
785	0.1799861916
786	0.1799345519
787	0.1798076878
788	0.1796476306
789	0.1795093176
790	0.1793612509
791	0.1792852198
792	0.1791933846
793	0.1790505701
794	0.1788197719
795	0.1786380058
796	0.1784983849
797	0.1783570522
798	0.1782435114
799	0.177910956
800	0.1778971661
801	0.1778293211
802	0.1776918724
803	0.1774951024
804	0.1774308456
805	0.1774308453
806	0.1773523463
807	0.1773014054
808	0.1772867801
809	0.1772571357
810	0.1771838193
811	0.1770935328
812	0.1768855592
813	0.1766967338
814	0.1765346818
815	0.1764349203
816	0.1763816058
817	0.1763154796
818	0.1760683593
819	0.1757622423
820	0.1757285405
821	0.1755688659
822	0.1755688637
823	0.1754993
824	0.1753551717
825	0.1751238996
826	0.1749055577
827	0.1748010566
828	0.1747037753
829	0.1744421523
830	0.1741801577
831	0.1741397482
832	0.1738865763
833	0.1736329581
834	0.173503529
835	0.1732443689
836	0.173208828
837	0.1731695851
838	0.1729731502
839	0.1728454306
840	0.1727462498
841	0.1726943937
842	0.1725727246
843	0.1724028408
844	0.1722998067
845	0.172046963
846	0.1716767808
847	0.1715341459
848	0.1714469447
849	0.1713160375
850	0.1710940693
851	0.1710192152
852	0.17092697
853	0.1707008984
854	0.1706410045
855	0.1705434655
856	0.1704763292
857	0.1702786492
858	0.170148698
859	0.1699633376
860	0.1699028302
861	0.1698197753
862	0.1697005163
863	0.1696485801
864	0.1696328915
865	0.169553167
866	0.1695430712
867	0.1694925586
868	0.1693786798
869	0.1693181845
870	0.1691588196
871	0.1689354618
872	0.1686857495
873	0.1686540325
874	0.1685015943
875	0.1681772991
876	0.167984471
877	0.1678557918
878	0.1678449087
879	0.1676165426
880	0.1674705533
881	0.1673356935
882	0.1672817083
883	0.1671251322
884	0.1670855518
885	0.1670614187
886	0.1668848806
887	0.1666919633
888	0.1666144325
889	0.1665528993
890	0.1664548026
891	0.1662202954
892	0.1660917252
893	0.1660053661
894	0.1657754838
895	0.1656612516
896	0.165619515
897	0.1656018854
898	0.1654974024
899	0.1653314831
900	0.1652639683
901	0.1650768012
902	0.164958193
903	0.164892913
904	0.1648524938
905	0.1646865597
906	0.164637848
907	0.1645101386
908	0.1644661334
909	0.1644409314
910	0.1643554408
911	0.164178452
912	0.1640512377
913	0.1639573303
914	0.1637449014
915	0.1636776283
916	0.1634219847
917	0.1631747157
918	0.1630938755
919	0.1629497724
920	0.1628913734
921	0.1628769487
922	0.1626736449
923	0.162463504
924	0.1622326679
925	0.1621083513
926	0.1618298372
927	0.161711435
928	0.1615608532
929	0.1613808333
930	0.1611879231
931	0.1611115858
932	0.160812571
933	0.1607824054
934	0.1607083335
935	0.1606422017
936	0.1605615363
937	0.1604702225
938	0.1603310049
939	0.1601137437
940	0.1600427942
941	0.1597989607
942	0.1596736058
943	0.1596722829
944	0.1596624058
945	0.1595442975
946	0.1593623055
947	0.1592753476
948	0.1591475954
949	0.1588859942
950	0.1588003255
951	0.158699687
952	0.1586768864
953	0.1585327035
954	0.1583981364
955	0.1582104147
956	0.1581991798
957	0.1579624382
958	0.1578192201
959	0.157746155
960	0.1575907091
961	0.1575765627
962	0.1574769989
963	0.1572749461
964	0.157201364
965	0.1571161492
966	0.1569751246
967	0.1568267205
968	0.1567963206
969	0.1566217802
970	0.1566039361
971	0.1563847791
972	0.1562654168
973	0.156243209
974	0.1561859008
975	0.1559733149
976	0.1558597473
977	0.1556448525
978	0.155580894
979	0.1553716246
980	0.155336966
